phase,,Z,
X,Y,X,Y
0.18474216512385563,74.94657616841472,0.16205048487366977,1547.2717823024711
0.25908702736876105,71.91886091479401,0.2025692374611397,1252.8880111398917
0.38176319969481476,67.78547160120722,0.2532192112697277,1021.882605936323
0.6636833759442817,60.80146896790543,0.3165335949312816,834.5864186355209
0.827009005924391,56.31994092123005,0.4068725243251243,685.7085390804066
1.0205707933592405,51.257979481582915,0.5086060499027947,563.7940568924923
1.357095380059297,46.609053716558314,0.6537626044272038,470.09906493962035
1.7383123166838756,41.64716699983734,0.7947450629586067,398.09531951785857
2.2164306091672454,35.83607477714291,1.1421626947917844,318.3861830001474
2.4670579952181497,31.777979778900587,1.5962933662270937,273.83592220640503
3.9629478273465497,23.47359731644569,2.4943593810671993,226.5990992614279
26.083408735763477,11.609873879458789,4.419006284706126,201.37335505880424
81.35774046504784,9.906792047277008,7.473050000666873,178.97785235225797
269.812968703384,11.56929746166496,12.57916820439963,174.3987305222247
481.9795673750854,12.894174942670944,23.237564599905244,161.27829088371777
743.3261462679011,13.955789343435129,42.926877179837014,151.33670345632117
4185.21548262385,12.756864170355215,79.29904945461995,143.42163431350764
0.3274015558221062,70.13812154696133,146.4895575343616,134.23502428624943
0.534361727140804,64.14364640883977,270.61094192426043,125.5649777432966
3.4024028985828596,26.629834254143645,499.9010381470915,115.14656248423353
5.282554662520107,19.86187845303867,698.6646601250757,112.2525108735822
6.752864898609197,17.734806629834253,2998.897458329752,79.95208668520763
8.219600954028241,16.187845303867405,6004.824669475212,75.3477155670762
13.450290146972973,13.867403314917127,10754.18410849977,67.42540797919423
19.94946418472626,12.320441988950279,17279.81859410182,64.62353285030804
46.14719480084304,10.386740331491708,1318.7779399865688,96.67451197563332
151.0660123718298,10.386740331491708,1863.7440333304492,88.81628132354967
1332.5297872767753,14.640883977900558,,
2531.685560113332,13.867403314917127,,
7492.445185166289,10.966850828729278,,
11672.498457086465,9.033149171270708,,
19105.715371705697,7.0994475138121516,,
