phase,,Z,
X,Y,X,Y
0.2237589329121804,73.20760077343733,0.15404225112544223,1549.1626794258373
0.3818261263744811,64.93953836597944,0.18655935676130195,1246.4200273410802
0.5139258804644031,59.6917912842278,0.24864675983498633,1009.3258714969242
0.5824864530666108,53.707802269912776,0.3209857182621326,818.8909774436091
0.7218072233390469,47.95512427758789,0.40135229604045997,676.7429938482571
0.978532612768956,41.49175260917049,0.5181179722840534,560.9990886306675
1.1652443686886595,34.80650994148738,0.6274885943926483,472.0209614946457
1.6974412371908512,29.040385221934258,0.8543061121896001,391.0002278423333
2.063996047606544,22.949537797703016,1.1581713277873367,335.58783321941223
2.6727829347317886,18.208794313463756,1.7426792405489544,294.5814210851804
3.012252899130548,14.361128874919373,3.4067289755125656,256.267088174983
4.323828124001437,10.416823202119687,7.098775427780687,233.82526564344744
6.330143383423188,6.455590256622912,14.327368369329943,217.0555521033989
10.258204266188663,3.558372642073806,28.916745779440923,203.2846579258064
18.500360027049307,1.5593636880784914,58.3623010812497,190.02671969179164
51.41445738312977,-0.9947817142763569,117.79189171141658,180.99080345491825
158.4805939158202,-1.0685651331655208,237.73788037654384,169.1139004536135
324.58087611462975,0.9217602499862068,479.8233473013694,156.6385488514677
656.3438698639834,2.888196949117784,968.4213733664806,141.49319579941607
1323.1610358272083,4.6475609617681215,1954.5525695396932,128.8665879574969
2586.2595342433456,4.860504350912933,3944.8486497297763,115.18776279541862
4915.708517172894,3.9120614881475575,7961.837973454765,101.30507052755843
13557.774362215901,-2.2022992066195712,16069.276553839169,94.43935251351513
23296.758655828162,-4.091172579028068,32432.41696511399,91.46026222581236
35318.127493658816,-6.207214939131276,63401.4866592171,90.24692412850322
60659.195563511086,-7.247561488326184,,
102116.47245054577,-7.695889723601752,,
0.15133660475059638,77.98117317566516,,
0.18699993265493992,75.72740003111872,,
0.3012835474005429,69.37762564182356,,
28.88250264893131,0.3586432238991648,,
87.13521638333339,-1.2945386650070105,,
7559.6354994180965,1.7084176131943138,,
