Phase,,Z,
X,Y,X,Y
0.031799585044213326,63.328950322395876,0.03281819149948386,1158.70729455217
0.04157856567601305,60.08190491927147,0.04054316094580769,975.0602982735948
0.04935519621856324,56.090856482024186,0.05182315315780825,824.3901620078906
0.058693286161464575,52.18268430599129,0.06640986630261049,712.382551274518
0.1283005663638223,39.99821905795775,0.08255189931103854,623.1176026189877
0.16936960828790887,35.87803975731269,0.1027632097652936,555.4581829374074
0.3186545865871036,25.350925058315227,0.12799215551384144,496.04297825904484
0.4384790071063086,22.04099849983406,0.17923230589573053,438.61775651249354
0.6229315114606482,18.88322152929372,0.28214000771511905,380.66458011056363
0.8214575294699802,16.29156261155771,0.5158847608589219,334.85436078233874
1.2867831716903837,13.958021826813422,1.006287558087386,301.5156856909566
2.326904227675662,11.769389281178846,2.0279191757343753,278.56627213967954
4.095898894411201,9.673320002623257,4.087467891317043,258.25293987469786
7.608320050166324,8.453994245969639,8.240886294241188,242.00227406271233
11.558255242593512,6.998647967156856,16.61997154146374,230.54824243441726
21.45286277599624,6.439307498835973,32.63764697418367,218.55407258177365
36.38858353386052,5.576805748583581,67.61911024110617,212.0749982830066
71.2976936837848,5.519264372197227,136.41227540688038,205.0971360545775
143.44063037093517,6.274216285993646,275.14298761318247,195.34880408212052
279.8131501848996,7.6599252706540994,554.8560314279226,182.6852763342315
521.8239656183986,9.37877463892984,1118.554458909377,164.93566233984257
3995.113290940788,9.91410307612638,2255.505627648791,151.04196332501533
27593.70013955113,4.795755260872895,4548.014626805336,136.83813710003596
103781.21771292375,2.196660128744128,9173.921116655938,128.07704341323074
0.07690092415130192,48.46076202422485,18506.09051367995,120.24633135688282
0.09488254209159352,44.12812120261848,37344.33320147488,117.68778187312569
0.19796022865251003,32.39171337854259,75363.15257983873,115.98208221728737
0.24424894674383593,28.96113441260634,,
884.6430314926275,10.632472266865264,,
2050.1567727444585,10.80190898043982,,
8467.528245079557,8.257614362431895,,
14318.368526981261,6.6270432362510405,,
50515.19725991874,3.543569440633462,,
