Phase,,Z,
X,Y,X,Y
0.019749647,76.0101917,0.017983618,1551.95357
0.024624154,74.55714632,0.023503121,1257.857578
0.032447901,72.92210628,0.03071666,1027.124372
0.0427288,70.56199951,0.040144169,840.08964
0.059467282,68.01989808,0.054250281,691.4906989
0.078243486,64.7534579,0.070900691,569.8216003
0.102930836,61.30575103,0.095814226,476.3919822
0.127970517,56.77117205,0.121100909,404.5944247
0.168093938,51.69206503,0.187090255,325.2549319
0.220871546,46.97549139,0.27952707,281.0387455
0.290025579,41.53385101,0.47744221,234.244365
0.402625913,36.27274933,0.947998205,209.5768239
0.500571534,31.73817035,1.780228655,187.6939504
0.695147821,26.83960204,3.324468456,183.6185904
0.865414116,23.75515652,6.940735717,171.0937687
1.138469188,20.30744965,14.49068112,161.7470177
1.58498175,18.12788158,30.25325383,154.4262869
2.088572479,16.49284154,63.16192866,145.8343278
2.604063324,15.03979617,131.8677738,137.7588052
3.629036304,13.9478282,275.309987,127.9353437
4.786086983,13.21912157,411.3340583,125.3651268
6.672152359,12.48968697,2360.689386,94.4788272
8.323123489,11.58044164,5428.761383,90.54576958
10.98231778,11.39553506,10920.39692,83.1878833
14.48625343,10.84809512,19287.07733,80.84445494
17.1069096,10.6646445,,
21.35061244,10.29919922,,
26.65151566,10.11502063,,
31.47822184,10.11283669,,
43.90499711,9.927202135,,
54.81486207,9.924290221,,
80.88391598,10.6442611,,
106.8153891,11.36568794,,
126.2024256,11.72603737,,
219.9479028,12.44382431,,
259.9556711,13.16670711,,
362.7617189,13.5248726,,
668.5213219,14.60446494,,
1101.488841,14.59791313,,
1623.977307,14.41155059,,
2263.942143,13.68211599,,
3156.099537,12.95268139,,
4163.758783,12.58650813,,
4913.713739,11.67799078,,
7239.665739,10.76656151,,
9034.09169,10.21984955,,
11269.50596,9.310604222,,
16601.2482,8.217908275,,
20702.15378,6.94612958,,
