f,Re,Im,Mag,Phase
0.03281819149948386,526.2091545052256,-1032.3306254118904,1158.70729455217,62.99072883155626
0.03805113527776836,497.43834862310734,-906.8291544844301,1034.303643087382,61.25316469477568
0.04411848519897261,480.66744334864563,-793.0011808572934,927.3036524981368,58.77839155479094
0.051153289436522725,473.9437858919926,-685.4407737204077,833.3377265335262,55.33831951490226
0.05930981103217027,471.5542235394537,-604.7936524625791,766.902045763945,52.05665710494393
0.06876691066049395,448.3767217325777,-536.6993344706516,699.3481680914691,50.123479948896055
0.07973196878377102,429.2122977453636,-473.00050767226736,638.7117321562814,47.77862654658572
0.09244543320437963,419.2591471588976,-415.11371498247195,589.9979905414552,44.71533852013153
0.10718609173595291,401.15490370984963,-368.97919899120564,545.0421140229904,42.6076107245228
0.1242771856153066,383.872846453835,-327.80555982486044,504.7918851335268,40.495440816094124
0.1440934977133865,374.53233859549914,-296.99780252837655,477.9980830092294,38.41382103466663
0.16706957097940958,365.37144456323506,-266.5192793876472,452.2486249703098,36.10878694948501
0.19370923733674408,361.3858132608776,-233.88113946672357,430.4649735164046,32.91007719755321
0.22459666598537908,356.2146717254924,-209.13715877379695,413.07050673278127,30.417616764734156
0.2604091733842135,346.34069056162474,-185.52751770381,392.9024481522616,28.177029854034572
0.30193207581747394,338.18343077919894,-166.13065660370498,376.785652483169,26.1623120033764
0.35007591024047746,334.31975145296553,-152.23829364166633,367.3502337858231,24.482969484549148
0.4058964010328784,328.22057398602016,-138.92287970201193,356.4103136728961,22.941032338676546
0.4706176105013061,319.82894125838675,-125.92461384664803,343.7259955820741,21.49079430487722
0.5456587807882992,312.34661658683143,-114.95899609437178,332.8302565516946,20.20610977210748
0.6326654557916229,309.55471298198734,-105.11672085073535,326.9153488776139,18.756149703227422
0.733545565552466,305.3460077312511,-95.91916975567332,320.05729418969804,17.439209794265025
0.850511264390756,299.7952794696351,-86.79148398895356,312.1057053071625,16.14586233365498
0.9861274402371454,291.918690789535,-80.76841874515576,302.88621543224605,15.46576682914223
1.1433679589008792,288.69796336962827,-75.61586858476703,298.43638121985055,14.67722837343776
1.3256808766286667,285.75103688534443,-70.59013474396933,294.3409964721551,13.876172908854759
1.5370640509712816,281.67189138457564,-67.26674579946693,289.59259225093155,13.43137843776548
1.7821528079943927,276.8996799564948,-63.498151234544565,284.087042946725,12.915660361390437
2.0663215882482704,271.78354403231333,-59.346401773866994,278.1875090838365,12.317709731184447
2.395801800444874,269.23732078754574,-55.69635385282366,274.9378452257069,11.68775303412611
2.7778184672023314,265.97330314073554,-52.83349917672673,271.1700142324936,11.23510418552095
3.220748659299566,262.1535715360015,-49.58314491777311,266.80139304175,10.710279331236334
3.7343051926741997,257.6786876602909,-45.9077772377037,261.7361841343997,10.101769824311402
4.329749616372174,253.707583405706,-42.87562416414354,257.3049883407396,9.592139473337395
5.020139161965532,251.21939892251282,-41.375032633721545,254.60377004363104,9.352472953368098
5.820613069680496,248.32437595826704,-39.662178809416716,251.4718356456104,9.074590999603304
6.748724569952076,244.95443770506628,-37.71259800001796,247.84050637318379,8.752400064306915
7.824825800278611,241.03255665008416,-35.48179556855062,243.63015244842836,8.374223104819887
9.072514098043941,238.5711197741734,-33.16608132481824,240.86545651202758,7.914514670931575
10.51914945586078,236.90819752783062,-30.691240468198256,238.8879366928401,7.38150456260521
12.196454486479459,234.85033828848208,-28.680275669558572,236.5950963285088,6.962570673261962
14.141210053621435,232.2654879040769,-27.912407713769714,233.9366567592574,6.852633974305217
16.396061822911534,229.26588414262287,-27.034653262514116,230.85432226562912,6.7251675901792005
19.010455419399694,227.252557822315,-26.203088694865,228.75822803548638,6.577376368172852
22.041720698318766,225.0745598132479,-25.267248515948157,226.4883911433299,6.4053023780328315
25.556328905561564,222.5462890378765,-24.18546877965961,223.85662300817003,6.202342254491274
29.631350295580994,219.608867804657,-22.954022975828213,220.8052127763703,5.967019625058941
34.35614417015716,217.15893321189668,-21.65304279850237,218.23578197940589,5.69417420618232
39.83431839812754,216.19508973524304,-21.088121423367607,217.22114466781656,5.5711260756872845
46.18600138550245,215.02805178414565,-20.934621088829623,216.0447208663477,5.5606564710513116
53.55047631697164,213.6748655403745,-20.75717956024066,214.68071330930778,5.5485174614317705
62.08923543389236,212.10582836682258,-20.552163534301013,213.09921129163442,5.534442855974656
71.98952132464105,210.64798064730525,-20.38144380989177,211.631696592366,5.5265041190867485
83.46843288268299,209.44610231342804,-20.708468895533116,210.46736197872636,5.646627122765182
96.7776859700587,208.05203131937697,-21.081442717507137,209.1173712611426,5.785904043707393
112.209133180724,206.43496304404476,-21.505557597066474,207.55212110348782,5.947389022546842
130.10116374413883,204.5591432244684,-21.98609861111411,205.7372878426908,6.134623190378548
150.84612390969733,202.83102271655892,-22.570014201745973,204.082898150022,6.349465016064093
174.8989205302545,201.0539391174092,-23.24093763395168,202.39275584054909,6.593870387679904
202.78699650884266,198.99099420548583,-24.000379951131027,200.4331160579168,6.877246814991954
235.12189685564078,196.59592925752597,-24.85608968563991,198.16100674726783,7.2058083315627615
272.61267898202715,193.81497886592535,-25.814855812131082,195.52660385072977,7.586759814349408
316.0814612999956,191.65087055028604,-26.653476833239402,193.49538498367997,7.917516087564267
366.48145108513955,189.22259801618375,-27.52187876158566,191.21361199078294,8.275475257480387
424.91784692806146,186.40304050180768,-28.492083423987644,188.5680045133798,8.690511923916139
492.6720741346159,183.1289308918891,-29.567686090437018,185.50054822115465,9.171727238295336
571.2298845221202,179.64531274240085,-30.221866350809282,182.16969999437663,9.549493570654992
662.3139367992608,176.65095434679904,-30.71689161105907,179.30166508395962,9.864228575022656
767.9215719701174,173.17923982127743,-31.250827905083504,175.9763147410147,10.229148873206404
890.3686121220611,169.16511589094483,-31.76017741331762,172.12072886123335,10.633304623903042
1032.3401430413446,164.76035687513948,-30.994645111258954,167.65036004493462,10.653943753901007
1196.949394245406,161.13829758877347,-30.38295295697749,163.97766549196274,10.677873845465632
1387.8060075854921,158.83186617404886,-30.027727623120306,161.64537153453935,10.705619650756251
1609.0951914509274,156.15814721348977,-29.613073294781106,158.94118739682304,10.737789594993444
1865.6694963117864,153.05874381346126,-29.128554642125522,155.80581424739597,10.77508911834064
2163.1552241043532,149.49980317341644,-28.3843140493336,152.17049790593921,10.750329065229877
2508.075804862696,146.9297391813612,-27.47826802994948,149.47710015192487,10.592884656960816
2907.9948460666737,144.57952799983025,-26.56226838711642,146.99929938106135,10.410335338913583
3371.681991570938,141.84916558199558,-25.519314614278738,144.1264069998657,10.198678069621675
3909.305227160337,138.67631933363944,-24.335777334660055,140.79542465012028,9.953271512515197
4532.653849713334,134.96958887324936,-23.107165944298696,136.93330872578562,9.715009325235545
5255.396989363418,133.66063816517547,-22.240806033291566,135.498411974947,9.447320422035144
6093.383353674105,132.2122143705126,-21.264420663777518,133.9113334072978,9.13694784503936
7064.988766782036,130.52456965745225,-20.152822263904774,132.07119114123125,8.77708557432399
8191.5191245369215,128.5569782290538,-18.891584256147652,129.937633528907,8.35984235284511
9497.67760185942,126.57071763144951,-17.721953657929568,127.8053762687389,7.970521959309063
11012.106357495873,125.43806801890307,-16.622192366256126,126.5346047031237,7.548465693436057
12768.014614968608,124.11322795432433,-15.369181527894057,125.06120539191774,7.059111486705435
14803.906892624927,122.54523263573181,-14.092416623388086,123.35286882773653,6.560064828740218
17164.427351812417,120.6543229790464,-13.180636485790236,121.37213367038822,6.234438858805797
19901.338778509882,119.43012167725452,-12.251091423165388,120.05683322869454,5.856891003003808
23074.657666059586,119.09117173792528,-11.297574633889065,119.62584327192977,5.419142185090463
26753.970289716806,118.68869883616017,-10.199403205396628,119.12613087466151,4.911593209140163
31019.95863262058,118.16345939802603,-9.525018112541009,118.54673806964568,4.6085810863865255
35966.16962452631,117.53721179389167,-8.916835073044327,117.87495961399954,4.338372939185125
41701.06649013665,117.2025146300525,-8.247152334141722,117.49231871586419,4.02507941834997
48350.4071901207,116.95473384917062,-7.484887504357402,117.19399861205872,3.661830451899936
56060.00211057935,116.64203113014251,-6.936679854943545,116.84811061191839,3.40336093204865
64998.91147308294,116.26806455901638,-6.454242834458019,116.44706989386103,3.1773275217038077
75363.15257983873,115.83198442602645,-5.898709976458779,115.98208221728737,2.9152525114320755
